col,col_dtype,col_dtype2
orig_index,int,float
date,date,str
empid,str,str
role,str,str
site,str,str
team,str,str
cluster,str,str
lob,str,str
skill,str,str
phase,str,str
hire_date,date,str
training_start_date,date,str
production_start_date,date,str
training_duration_(days),int,float
production_tenure_(days),int,float
inbound_calls,int,float
outbound_calls,int,float
handling_time,int,float
hold_duration,int,float
talk_duration,int,float
wrap_duration,int,float
login_hours,float,float
duration_in_adherence,int,float
duration_out_adherence,int,float
schedule_hrs,int,float
absent_hrs,int,float
post_call_away_duration,int,float
call_reso_2d,int,float
call_reso_2d_elig,int,float
repeat_calls_2d,int,float
call_reso_7d,int,float
call_reso_7d_elig,int,float
repeat_calls_7d,int,float
tx_conn,int,float
tx_conn_elig,int,float
nps_advocate,int,float
nps_detractor,int,float
nps_passive,int,float
nps_qty,int,float
res_neg,int,float
res_pos,int,float
res_uncertain,int,float
res_qty,int,float
withdrawn,int,float
returned,int,float
completed_orders_,int,float
active_orders_,int,float
provisioning_orders_,int,float
nps_b_promoter,int,float
nps_b_detractor,int,float
nps_b_passive,int,float
nps_b_nps_total,int,float
nps_b_resolved,int,float
nps_b_dissatisfied,int,float
nps_b_too_early,int,float
nps_b_reso_total,int,float
moves_prod_hrs,float,float
moves_created,int,float
moves_closed,int,float
moves_pending,int,float
moves_held,int,float
nps_c_promoter,int,float
nps_c_passive,int,float
nps_c_detractor,int,float
nps_c_nps_total,int,float
nps_c_resolution_positive,int,float
nps_c_resolution_negative,int,float
nps_c_resolution_total,int,float
survey_sent,int,float
survey_completed,int,float
prod_hrs_(excp),float,float
prod_hrs,float,float
call_reso_40d_elig,int,float
call_reso_40d,int,float
prod_base,int,float
unprod_time,float,float
complaints_attend,float,float
case_closed,int,float
closed_duration_(hrs),float,float
closed_real_time,int,float
closed_w_in_24hrs,int,float
closed_w_in_48hrs,int,float
closed_w_in_5days,int,float
closed_after_5days,int,float
case_resolved,int,float
case_dissatisfied,int,float
case_no_resolution,int,float
case_open,int,float
case_resolved_close_pending,int,float
case_open_duration_(days),int,float
case_open_gt_5days,int,float
case_open_no_resolution,int,float
case_reopened,int,float
leads_created,int,float
leads_open,int,float
leads_closed,int,float
leads_closed_invalid,int,float
leads_closed_noopportunity,int,float
leads_closed_sale,int,float
leads_warm_transferred,int,float
leads_warm_transferred_open,int,float
leads_warm_transferred_closed,int,float
leads_warm_transferred_closed_invalid,int,float
leads_warm_transferred_closed_noopportunity,int,float
leads_warm_transferred_closed_sale,int,float
chown_case_closed,int,float
late,int,float
absent,int,float
scheduled,int,float
nps_b_survey_return_qty,int,float
leads_moves_created,int,float
outbound_handling_time,int,float
leads_moves_created_lv1,int,float
moves_closed,int,float
chown_case_alloc,int,float
chown_case_alloc_lv2,int,float
moves_created_ib,int,float
cases_allocated,int,float
complaints_alloc,int,float
leads_ib_call_qty,int,float
nps_e_advocate,int,float
nps_e_detractor,int,float
nps_e_passive,int,float
nps_e_total,int,float
nps_e_total_resolution,int,float
moves_alloc,int,float
cr_refund_amt,int,float
cr_refund_qty,float,float
